views,content,area,content_tokens
3,JOJOWAIN OR TOTROPAHIN ,3,"['jojowain', 'or', 'totropahin']"
2,A day in my life HAV TIME ,3,"['a', 'day', 'in', 'my', 'life', 'hav', 'time']"
2,VLOG sessione estiva ,2,"['vlog', 'session', 'estiva']"
4,MY VAN TOUR ,2,"['my', 'van', 'tour']"
4,JYP OFFICIAL ,2,"['jyp', 'offici']"
3,SZKOLA NA KARAIBACH A1 Espanol ,3,"['szkola', 'na', 'karaibach', 'a1', 'espanol']"
4,SO MOMMY TONT ,2,"['so', 'mommi', 'tont']"
4,HAPPY MOTHER'S DAY ALEW NAMA ,3,"['happi', 'mother', ""'s"", 'day', 'alew', 'nama']"
3,chartered ,2,['charter']
4,18 MIN &you! ,2,"['18', 'min', '&', 'you', '!']"
4,"W ENTIRE My DESIGNER HANDBAG COLLECTION part , K KIM CHILI ",2,"['w', 'entir', 'my', 'design', 'handbag', 'collect', 'part', ',', 'k', 'kim', 'chili']"
4,  ,0,[]
4,LAST TO LEAVE THE POOL 10 WINS 1M PART 3 EXTREME!!! AND THE WINNER IS... ,3,"['last', 'to', 'leav', 'the', 'pool', '10', 'win', '1m', 'part', '3', 'extrem', '!', '!', '!', 'and', 'the', 'winner', 'is', '...']"
4,  ,0,[]
2,FAMILY ALLTAG IN DUBAI ,2,"['famili', 'alltag', 'in', 'dubai']"
3,HOUSE POOJA IN ENGLAND NEW ,2,"['hous', 'pooja', 'in', 'england', 'new']"
3,"!! MAJA""& KAKAI VLOG SHOOT GONE WRONG22 ",4,"['!', '!', 'maja', ""''"", '&', 'kakai', 'vlog', 'shoot', 'gone', 'wrong22']"
3,PRANK PE GYA PUTHA SNEHA KYU RO PYI? Iphone 12 promax Gift ,4,"['prank', 'pe', 'gya', 'putha', 'sneha', 'kyu', 'ro', 'pyi', '?', 'iphon', '12', 'promax', 'gift']"
3,  ,0,[]
4,BUNDA MARAH BESAR ,3,"['bunda', 'marah', 'besar']"
3,"Mad Monster 24bours Vlog in m countdown radio, dingo ",3,"['mad', 'monster', '24bour', 'vlog', 'in', 'm', 'countdown', 'radio', ',', 'dingo']"
3,LOCKDOWN EID ,2,"['lockdown', 'eid']"
3,YA ESTA COMPLETA! ,2,"['ya', 'esta', 'completa', '!']"
4,LABOR GAMES ,3,"['labor', 'game']"
4,Eid Mubarak ,2,"['eid', 'mubarak']"
2,hehehe xd ,2,"['heheh', 'xd']"
4,HOUSE TOUR! TAMU YANG PALING DITUNGGU!!! ,3,"['hous', 'tour', '!', 'tamu', 'yang', 'pale', 'ditunggu', '!', '!', '!']"
4,  ,0,[]
4,LIVING LIKE BABY 24hr ,3,"['live', 'like', 'babi', '24hr']"
4,Ibrahim's Eid Celebration ,3,"['ibrahim', ""'s"", 'eid', 'celebr']"
3,EID VLOG ,2,"['eid', 'vlog']"
4,SECRET ROOM ,3,"['secret', 'room']"
4,A GANDA DEBATE WARLAHAN Boys VS Pa-Girls part 1 Vice ganda <WKWARD ,4,"['a', 'ganda', 'debat', 'warlahan', 'boy', 'vs', 'pa-girl', 'part', '1', 'vice', 'ganda', '<', 'wkward']"
1,DONATED ALL MY BOOKS TO A NEEDY STUDENT SPECIAL lannouncement ,3,"['donat', 'all', 'my', 'book', 'to', 'a', 'needi', 'student', 'special', 'lannounc']"
4,60 MIN Blue's clues &you! ,2,"['60', 'min', 'blue', ""'s"", 'clue', '&', 'you', '!']"
4,  ,0,[]
4,NEW HAIR COLOR NO MOMMY TONI ,3,"['new', 'hair', 'color', 'no', 'mommi', 'toni']"
4,NEW HAIR COLOR NO MOMMY TONI ,3,"['new', 'hair', 'color', 'no', 'mommi', 'toni']"
3,MOVING VLOG 2 ,2,"['move', 'vlog', '2']"
3,Ich habe keine Freunde alleine Picknicken ,3,"['ich', 'habe', 'kein', 'freund', 'allein', 'picknicken']"
3,Gold Edition $2 Bank N ,2,"['gold', 'edit', '$', '2', 'bank', 'n']"
4,  ,0,[]
3,FATROL ,2,['fatrol']
4,WES UNIVERSE ,2,"['we', 'univers']"
4,Reaction Video Dau Tien Cua Lam Vlog ,3,"['reaction', 'video', 'dau', 'tien', 'cua', 'lam', 'vlog']"
4,ILLEST QUESTIONS I'VE NEVER ASKED MY DAD ,3,"['illest', 'question', 'i', ""'ve"", 'never', 'ask', 'my', 'dad']"
3,  ,0,[]
2,  ,0,[]
3,08 VLOG 00 TOP 8 IN EUROPE Team Liquid VALORANT ,3,"['08', 'vlog', '00', 'top', '8', 'in', 'europ', 'team', 'liquid', 'valor']"
2,TIX Eurolision EPISODE #07 CONTEST ,3,"['tix', 'eurolis', 'episod', '#', '07', 'contest']"
3,Voice lessing with Angeline Quicto 6 ,3,"['voic', 'less', 'with', 'angelin', 'quicto', '6']"
4,MOMMY TONI ,3,"['mommi', 'toni']"
3,  ,0,[]
3,School Vog ,3,"['school', 'vog']"
3,Q&A VLOG! ,3,"['q', '&', 'a', 'vlog', '!']"
3,Did We DO It? Cute VLOG ,3,"['did', 'we', 'do', 'it', '?', 'cute', 'vlog']"
3,VLOG NAGRYWAMY BABSKA PIOSENKE! ,3,"['vlog', 'nagrywami', 'babska', 'piosenk', '!']"
4,vlog ,1,['vlog']
3,I'm fat now! stave STEVE VLOGS WEEK 1 ,4,"['i', ""'m"", 'fat', 'now', '!', 'stave', 'steve', 'vlog', 'week', '1']"
4,I wore a scandalous outfit ,2,"['i', 'wore', 'a', 'scandal', 'outfit']"
4,"TIPPING P100,000 I will spend my money helping people like you guys ",3,"['tip', 'p100,000', 'i', 'will', 'spend', 'my', 'money', 'help', 'peopl', 'like', 'you', 'guy']"
4,  ,0,[]
4,A VICE GANDA MUMU SI MEME CHORROR O COMEDY Vice CANDA ,3,"['a', 'vice', 'ganda', 'mumu', 'si', 'meme', 'chorror', 'o', 'comedi', 'vice', 'canda']"
4,RUMAH ANDARA JADI SEPI!!S A RAFFI.o NISYA PAMIT YA ,3,"['rumah', 'andara', 'jadi', 'sepi', '!', '!', 's', 'a', 'raffi.o', 'nisya', 'pamit', 'ya']"
1,WEEKEND VLOG ,3,"['weekend', 'vlog']"
3,ADA CEMILAN INDONESIA?? LIFE IN KOREA DAILY VLOG BELANJA PERLENGRAPAN KOSAN ,3,"['ada', 'cemilan', 'indonesia', '?', '?', 'life', 'in', 'korea', 'daili', 'vlog', 'belanja', 'perlengrapan', 'kosan']"
4,  ,0,[]
2,Boliche e compras! Casa da Ariana Grande VLOG EM.NEW YORK MEU DIA NOS EUA ,4,"['bolich', 'e', 'compra', '!', 'casa', 'da', 'ariana', 'grand', 'vlog', 'em.new', 'york', 'meu', 'dia', 'no', 'eua']"
1,a week in my life ,3,"['a', 'week', 'in', 'my', 'life']"
4,SYUKURAN RUMAH ,3,"['syukuran', 'rumah']"
3,B BUKA PUASA JAJAN STREET FOOD KOREA! ,3,"['b', 'buka', 'puasa', 'jajan', 'street', 'food', 'korea', '!']"
4,FELIZ CUMPLEANOS ,3,"['feliz', 'cumpleano']"
3,MADE FOR THE FIRST TIME IN LIFE ,2,"['made', 'for', 'the', 'first', 'time', 'in', 'life']"
3,  ,0,[]
3,ANOW UNI POZLILO IZGUBILI se PUTOVANUE NASE PRVO ,3,"['anow', 'uni', 'pozlilo', 'izgubili', 'se', 'putovanu', 'nase', 'prvo']"
3,  ,0,[]
3,TEAM DIAZ REPRESENT R REE ,2,"['team', 'diaz', 'repres', 'r', 'ree']"
4,NAMIN KAY DONNALYN ,3,"['namin', 'kay', 'donnalyn']"
2,VLOG ,2,['vlog']
4,BIA IS HOME ,2,"['bia', 'is', 'home']"
3,BUHAY VLOGGER SALOOBING TORO HOUSE ,4,"['buhay', 'vlogger', 'saloob', 'toro', 'hous']"
1,"online egitime proje, kargolar, nail art... ",3,"['onlin', 'egitim', 'proje', ',', 'kargolar', ',', 'nail', 'art', '...']"
4,Chand raat ,3,"['chand', 'raat']"
4,EVERYDAY ROUTINE CHECK UP NI BR HUMILATO A DAY IN MY LIFE PRECGY AS ,3,"['everyday', 'routin', 'check', 'up', 'ni', 'br', 'humilato', 'a', 'day', 'in', 'my', 'life', 'precgi', 'as']"
3,  ,0,[]
3,ALL ,2,['all']
4,Kanwal EID shopping ,3,"['kanwal', 'eid', 'shop']"
3,$ $ $ MGA ,2,"['$', '$', '$', 'mga']"
1,VLOG ABOARD WITH SORD PREP five BELW ,3,"['vlog', 'aboard', 'with', 'sord', 'prep', 'five', 'belw']"
1,gy tanford euta ,3,"['gy', 'tanford', 'euta']"
4,NY REGRESA! ,3,"['ny', 'regresa', '!']"
1,DAY IN THE LIFE TOA VLOG#2 NO ,2,"['day', 'in', 'the', 'life', 'toa', 'vlog', '#', '2', 'no']"
4,EID MUBARAK 2021 ,2,"['eid', 'mubarak', '2021']"
3,  ,0,[]
